,Date,Price
0,28/02/2022,"1,490.13"
1,25/02/2022,"1,498.89"
2,24/02/2022,"1,494.85"
3,23/02/2022,"1,512.30"
4,22/02/2022,"1,503.47"
5,21/02/2022,"1,510.84"
6,18/02/2022,"1,504.84"
7,17/02/2022,"1,507.99"
8,16/02/2022,"1,492.10"
9,15/02/2022,"1,492.75"
10,14/02/2022,"1,471.96"
11,11/02/2022,"1,501.71"
12,10/02/2022,"1,506.79"
13,09/02/2022,"1,505.38"
14,08/02/2022,"1,500.99"
15,07/02/2022,"1,497.66"
16,28/01/2022,"1,478.96"
17,27/01/2022,"1,470.76"
18,26/01/2022,"1,481.58"
19,25/01/2022,"1,479.58"
20,24/01/2022,"1,439.71"
21,21/01/2022,"1,472.89"
22,20/01/2022,"1,465.30"
23,19/01/2022,"1,442.79"
24,18/01/2022,"1,438.94"
25,17/01/2022,"1,452.84"
26,14/01/2022,"1,496.02"
27,13/01/2022,"1,496.05"
28,12/01/2022,"1,510.51"
29,11/01/2022,"1,492.31"
30,10/01/2022,"1,503.71"
31,07/01/2022,"1,528.48"
32,06/01/2022,"1,528.57"
33,05/01/2022,"1,522.50"
34,04/01/2022,"1,525.58"
35,31/12/2021,"1,498.28"
36,30/12/2021,"1,485.97"
37,29/12/2021,"1,485.82"
38,28/12/2021,"1,494.39"
39,27/12/2021,"1,488.88"
40,24/12/2021,"1,477.03"
41,23/12/2021,"1,456.96"
42,22/12/2021,"1,477.67"
43,21/12/2021,"1,478.74"
44,20/12/2021,"1,477.33"
45,17/12/2021,"1,479.79"
46,16/12/2021,"1,476.61"
47,15/12/2021,"1,475.50"
48,14/12/2021,"1,476.02"
49,13/12/2021,"1,476.21"
50,10/12/2021,"1,463.54"
51,09/12/2021,"1,467.98"
52,08/12/2021,"1,452.87"
53,07/12/2021,"1,446.77"
54,06/12/2021,"1,413.58"
55,03/12/2021,"1,443.32"
56,02/12/2021,"1,482.05"
57,01/12/2021,"1,485.19"
58,30/11/2021,"1,478.44"
59,29/11/2021,"1,484.84"
60,26/11/2021,"1,493.03"
61,25/11/2021,"1,500.81"
62,24/11/2021,"1,488.87"
63,23/11/2021,"1,463.63"
64,22/11/2021,"1,447.25"
65,19/11/2021,"1,452.35"
66,18/11/2021,"1,469.83"
67,17/11/2021,"1,475.85"
68,16/11/2021,"1,466.45"
69,15/11/2021,"1,476.57"
70,12/11/2021,"1,473.37"
71,11/11/2021,"1,462.35"
72,10/11/2021,"1,465.02"
73,09/11/2021,"1,461.50"
74,08/11/2021,"1,467.57"
75,05/11/2021,"1,456.51"
76,04/11/2021,"1,448.34"
77,03/11/2021,"1,444.30"
78,02/11/2021,"1,452.46"
79,01/11/2021,"1,438.97"
80,29/10/2021,"1,444.27"
81,28/10/2021,"1,438.01"
82,27/10/2021,"1,423.02"
83,26/10/2021,"1,391.63"
84,25/10/2021,"1,385.40"
85,22/10/2021,"1,389.24"
86,21/10/2021,"1,384.77"
87,20/10/2021,"1,393.80"
88,19/10/2021,"1,395.33"
89,18/10/2021,"1,395.53"
90,15/10/2021,"1,392.70"
91,14/10/2021,"1,391.85"
92,13/10/2021,"1,391.91"
93,12/10/2021,"1,394.80"
94,11/10/2021,"1,394.09"
95,08/10/2021,"1,372.73"
96,07/10/2021,"1,365.99"
97,06/10/2021,"1,362.82"
98,05/10/2021,"1,354.63"
99,04/10/2021,"1,339.54"
100,01/10/2021,"1,334.89"
101,30/09/2021,"1,342.06"
102,29/09/2021,"1,339.21"
103,28/09/2021,"1,339.31"
104,27/09/2021,"1,324.99"
105,24/09/2021,"1,351.17"
106,23/09/2021,"1,352.76"
107,22/09/2021,"1,350.68"
108,21/09/2021,"1,339.84"
109,20/09/2021,"1,350.48"
110,17/09/2021,"1,352.64"
111,16/09/2021,"1,345.87"
112,15/09/2021,"1,345.83"
113,14/09/2021,"1,339.70"
114,13/09/2021,"1,341.43"
115,10/09/2021,"1,345.31"
116,09/09/2021,"1,343.98"
117,08/09/2021,"1,333.61"
118,07/09/2021,"1,341.90"
119,06/09/2021,"1,346.39"
120,01/09/2021,"1,334.65"
121,31/08/2021,"1,331.47"
122,30/08/2021,"1,328.14"
123,27/08/2021,"1,313.20"
124,26/08/2021,"1,301.12"
125,25/08/2021,"1,309.55"
126,24/08/2021,"1,298.74"
127,23/08/2021,"1,298.86"
128,20/08/2021,"1,329.43"
129,19/08/2021,"1,374.85"
130,18/08/2021,"1,360.94"
131,17/08/2021,"1,363.09"
132,16/08/2021,"1,370.96"
133,13/08/2021,"1,357.05"
134,12/08/2021,"1,353.05"
135,11/08/2021,"1,357.79"
136,10/08/2021,"1,362.43"
137,09/08/2021,"1,359.86"
138,06/08/2021,"1,341.45"
139,05/08/2021,"1,345.55"
140,04/08/2021,"1,334.74"
141,03/08/2021,"1,332.44"
142,02/08/2021,"1,314.22"
143,30/07/2021,"1,310.05"
144,29/07/2021,"1,293.60"
145,28/07/2021,"1,277.07"
146,27/07/2021,"1,276.93"
147,26/07/2021,"1,272.71"
148,23/07/2021,"1,268.83"
149,22/07/2021,"1,293.67"
150,21/07/2021,"1,270.79"
151,20/07/2021,"1,273.29"
152,19/07/2021,"1,243.51"
153,16/07/2021,"1,299.31"
154,15/07/2021,"1,293.92"
155,14/07/2021,"1,279.91"
156,13/07/2021,"1,297.54"
157,12/07/2021,"1,296.30"
158,09/07/2021,"1,347.14"
159,08/07/2021,"1,374.68"
160,07/07/2021,"1,388.55"
161,06/07/2021,"1,354.79"
162,05/07/2021,"1,411.13"
163,02/07/2021,"1,420.27"
164,01/07/2021,"1,417.08"
165,30/06/2021,"1,408.55"
166,29/06/2021,"1,410.04"
167,28/06/2021,"1,405.81"
168,25/06/2021,"1,390.12"
169,24/06/2021,"1,379.72"
170,23/06/2021,"1,376.87"
171,22/06/2021,"1,379.97"
172,21/06/2021,"1,372.63"
173,18/06/2021,"1,377.77"
174,17/06/2021,"1,359.92"
175,16/06/2021,"1,356.52"
176,15/06/2021,"1,367.36"
177,14/06/2021,"1,361.72"
178,11/06/2021,"1,351.74"
179,10/06/2021,"1,323.58"
180,09/06/2021,"1,332.90"
181,08/06/2021,"1,319.88"
182,07/06/2021,"1,358.78"
183,04/06/2021,"1,374.05"
184,03/06/2021,"1,364.28"
185,02/06/2021,"1,340.78"
186,01/06/2021,"1,337.78"
187,31/05/2021,"1,328.05"
188,28/05/2021,"1,320.46"
189,27/05/2021,"1,303.57"
190,26/05/2021,"1,316.70"
191,25/05/2021,"1,308.58"
192,24/05/2021,"1,297.98"
193,21/05/2021,"1,283.93"
194,20/05/2021,"1,278.22"
