"p1","p2","frequency"
"6920000000000","6923700000000",31629
"6923700000000","8935270000000",23985
"6920000000000","8990000000000",15424
"6923700000000","8990000000000",15423
"6920000000000","8935270000000",14438
"6920000000000","8940000000000",10670
"6923700000000","8940000000000",10668
"6923700000000","8992300000000",9462
"8935270000000","8940000000000",9327
"6900000000000","6902400000000",8747
"8935270000000","8990000000000",8354
"8940000000000","8990000000000",8354
"6902400000000","6923700000000",8028
"6923700000000","8991380000000",7378
"6923700000000","6928820000000",6509
"8990000000000","8992300000000",5669
"8990000000000","8991380000000",5531
"8935270000000","8992300000000",5465
"6902400000000","8935270000000",4473
"6923700000000","8850430000000",3799
"8991380000000","8992300000000",3713
"6902400000000","8991380000000",3685
"6902400000000","8992300000000",3457
"8935270000000","8991380000000",3039
"6920000000000","8992300000000",2892
"41554433753","6902400000000",2767
"8850430000000","8935270000000",2470
"6923700000000","6955820000000",2360
"41554433784","6902400000000",2331
"6928820000000","8935270000000",2240
"6902400000000","6928820000000",2234
"4992940000000","6902400000000",2227
"8850000000000","8850430000000",2217
"6902400000000","6923490000000",2208
--,"6902400000000",2193
"6920000000000","6928820000000",2147
"6920000000000","8850000000000",2142
"6923700000000","8850000000000",2142
"41554433807","6902400000000",2098
"41554247718","6902400000000",2019
"41554247701","6902400000000",1956
"41554429947","6902400000000",1929
"41554429954","6902400000000",1908
"41554453638","6902400000000",1906
"41554433814","6902400000000",1904
"41554433821","6902400000000",1904
--,"6923700000000",1849
"6920000000000","6930000000000",1846
"6923700000000","6930000000000",1846
"6920000000000","8850430000000",1814
"6928820000000","8991380000000",1799
"8850000000000","8990000000000",1765
"8850430000000","8990000000000",1765
"6920000000000","8991380000000",1740
"8940000000000","8992300000000",1722
"6928820000000","6930000000000",1658
"6928820000000","8990000000000",1646
"6930000000000","8990000000000",1646
"8850000000000","8935270000000",1626
--,"8935270000000",1618
"6900000000000","8990000000000",1558
"6902400000000","8990000000000",1558
"6900000000000","6920000000000",1546
"6902400000000","6920000000000",1546
"6928820000000","8992300000000",1301
"6902400000000","8850430000000",1297
"41554433753","6900000000000",1248
"8850000000000","8940000000000",1196
"8850430000000","8940000000000",1196
"6900000000000","6923700000000",1193
"6923700000000","6946540000000",1162
"4935420000000","6902400000000",1137
"6900000000000","8935270000000",1053
"6930000000000","8935270000000",920
--,"8992300000000",908
"8850430000000","8992300000000",905
"6902400000000","6946540000000",893
"8940000000000","8991380000000",819
"6900000000000","8940000000000",799
"6902400000000","8940000000000",799
"6900000000000","6928820000000",760
"4935420000000","6923700000000",754
"6928820000000","8940000000000",736
"6930000000000","8940000000000",736
"8990000000000","8994990000000",712
"8992300000000","8994990000000",703
"6902400000000","6938180000000",672
"8850430000000","8991380000000",655
"6923700000000","8994990000000",645
"41554433753","41554433807",633
"41554433753","41554433784",596
"6938180000000","8850000000000",594
"6940000000000","8850000000000",594
"6900000000000","6930000000000",593
"6902400000000","6930000000000",593
"6955820000000","8991380000000",592
"41554247701","41554247718",584
"41554247718","41554433753",582
--,"6928820000000",576
"41554247701","41554429947",575
"41554247718","41554429947",575
"41554247701","41554433784",568
"41554429947","41554429954",567
"41554247701","41554429954",566
"41554247718","41554429954",566
"41554247718","41554433784",566
"41554433784","41554433807",561
"41554247701","41554433753",559
"41554429947","41554433753",557
"41554429954","41554433753",557
"41554429947","41554433784",548
"41554429954","41554433784",548
"41554247701","41554433807",539
"41554247718","41554433807",539
"41554429947","41554433807",539
"41554429954","41554433807",539
"6938180000000","8850430000000",534
"4935420000000","6920000000000",533
"4940000000000","6920000000000",533
"41554247701","41554433814",530
"41554247718","41554433814",530
"41554429947","41554433814",530
"41554429954","41554433814",530
"41554433753","41554433814",530
"41554433784","41554433814",530
"41554433807","41554433814",530
"6955820000000","8992300000000",528
"41554247701","41554433821",521
"41554247718","41554433821",521
"41554429947","41554433821",521
"41554429954","41554433821",521
"41554433753","41554433821",521
"41554433784","41554433821",521
"41554433807","41554433821",521
"41554433814","41554433821",521
"6923700000000","6938180000000",518
"6938180000000","6940000000000",515
"41554247701","41554453638",512
"41554247718","41554453638",512
"41554429947","41554453638",512
"41554429954","41554453638",512
"41554433753","41554453638",512
"41554433784","41554453638",512
"41554433807","41554453638",512
"41554433814","41554453638",512
"41554433821","41554453638",512
"6955820000000","8935270000000",495
"4992940000000","6923700000000",484
--,"8991380000000",476
"41554433784","6900000000000",467
"4992940000000","8991380000000",462
"8935270000000","8994990000000",456
"6940000000000","8850430000000",432
"6920000000000","6955820000000",426
"6955820000000","6960000000000",408
"6928820000000","8850430000000",406
"6955820000000","8990000000000",395
"6960000000000","8990000000000",395
"4940000000000","6923700000000",377
"6928820000000","6955820000000",374
"6946540000000","8991380000000",366
"6920000000000","6960000000000",354
"6923700000000","6960000000000",354
"6946540000000","8992300000000",346
"4935420000000","4992940000000",344
"6946540000000","8935270000000",322
"8991380000000","8994990000000",322
--,"6900000000000",314
--,"6920000000000",314
"6900000000000","8991380000000",305
"4935420000000","4940000000000",296
"6920000000000","6938180000000",294
"8850000000000","8991380000000",293
--,"8990000000000",289
"8850000000000","8992300000000",288
--,"8850430000000",272
"6920000000000","6946540000000",268
"6920000000000","8994990000000",268
"6946540000000","6955820000000",258
"6920000000000","6940000000000",256
"6923700000000","6940000000000",256
"6900000000000","8850000000000",255
"6902400000000","8850000000000",255
"4992940000000","8850430000000",253
"4992940000000","8992300000000",252
"6930000000000","8992300000000",247
"6902400000000","6955820000000",244
"6930000000000","8991380000000",241
"6900000000000","8992300000000",238
"6946540000000","6950000000000",236
"41554247718","6900000000000",234
"6928820000000","8994990000000",233
"6920000000000","6950000000000",226
"6923700000000","6950000000000",226
"6900000000000","8850430000000",223
--,"8850000000000",219
"8940000000000","8994990000000",208
"4992940000000","6946540000000",203
"4935420000000","8935270000000",200
"6946540000000","8990000000000",187
"6950000000000","8990000000000",187
"6938180000000","8990000000000",179
"6940000000000","8990000000000",179
"6928820000000","6946540000000",168
"4935420000000","8992300000000",164
--,"8940000000000",160
"4935420000000","6946540000000",160
"4992940000000","8935270000000",157
"6902400000000","8994990000000",156
"6955820000000","8850430000000",155
"6938180000000","8935270000000",154
"6946540000000","8850430000000",144
"4992940000000","6928820000000",140
"4935420000000","8991380000000",138
"4992940000000","6938180000000",136
"4935420000000","8990000000000",129
"4940000000000","8990000000000",129
"4935420000000","6938180000000",128
"6940000000000","8935270000000",126
"6960000000000","8935270000000",124
"4940000000000","8935270000000",120
"4935420000000","8850430000000",108
"6938180000000","8940000000000",108
"6940000000000","8940000000000",108
"6960000000000","8992300000000",106
"6950000000000","8935270000000",105
"6955820000000","8940000000000",104
"6960000000000","8940000000000",104
"41554247701","6900000000000",101
"4935420000000","8940000000000",100
"4940000000000","8940000000000",100
"41554433753","6928820000000",96
"6938180000000","6946540000000",96
"6938180000000","8992300000000",93
"8850430000000","8994990000000",86
"6928820000000","8850000000000",82
"6930000000000","8850000000000",82
"4990000000000","4992940000000",80
"6946540000000","8940000000000",80
"6950000000000","8940000000000",80
"6938180000000","8991380000000",76
--,"8994990000000",73
"6930000000000","6946540000000",69
--,"4992940000000",68
"41554433753","6930000000000",68
"6950000000000","6955820000000",66
"4935420000000","6955820000000",65
"6900000000000","6923490000000",65
"8850000000000","8994990000000",64
"4992940000000","6955820000000",63
"6930000000000","8850430000000",61
"6930000000000","8994990000000",61
"6928820000000","6950000000000",60
"6930000000000","6950000000000",60
"6955820000000","8850000000000",58
"6960000000000","8850000000000",58
"6923490000000","8850430000000",56
"6946540000000","6960000000000",56
"6950000000000","6960000000000",56
--,"6930000000000",55
"41554433753","8935270000000",55
--,"6923490000000",52
"4935420000000","6900000000000",51
"4940000000000","6900000000000",51
"41554433784","6923490000000",49
"6900000000000","8994990000000",45
"6960000000000","8850430000000",45
"6930000000000","6955820000000",44
"4935420000000","6928820000000",42
"4990000000000","6920000000000",42
"4992940000000","6920000000000",42
"6923490000000","8992300000000",40
"41554247718","6923490000000",39
"6923490000000","6923700000000",38
"6950000000000","8992300000000",37
"4992940000000","6923490000000",36
"6928820000000","6960000000000",36
"6930000000000","6960000000000",36
"6940000000000","8991380000000",36
"41554433753","8940000000000",34
"4940000000000","6902400000000",34
"41554433753","6923490000000",33
"4990000000000","6923700000000",33
"4990000000000","6928820000000",33
"41554247701","6923490000000",31
"41554433753","8992300000000",31
"6920000000000","6923490000000",31
"6923490000000","8935270000000",31
--,"6946540000000",30
"41554433807","6923490000000",30
"41554247732","6902400000000",29
"4990000000000","8990000000000",29
"4992940000000","8990000000000",29
"41554429947","6923490000000",28
--,"4935420000000",27
"41554429954","6923490000000",27
"41554433814","6923490000000",27
"41554433821","6923490000000",27
"41554453638","6923490000000",27
"41554433784","6928820000000",26
"6923490000000","8991380000000",26
"6940000000000","8992300000000",25
"41554247725","6900000000000",24
"4990000000000","6930000000000",24
"4992940000000","6930000000000",24
"6950000000000","8991380000000",24
"4940000000000","8992300000000",23
"6900000000000","6946540000000",22
"6923490000000","6938180000000",22
"41554433807","8992300000000",21
"6900000000000","6955820000000",21
"41554247732","41554433784",20
"41554429947","8992300000000",20
"6946540000000","8994990000000",19
"41554433753","8990000000000",18
"6900000000000","6960000000000",18
"6902400000000","6960000000000",18
"6955820000000","8994990000000",18
"6960000000000","8991380000000",18
"41554247718","8992300000000",17
"4990000000000","8935270000000",17
"41554247718","41554247732",16
"41554247732","41554433753",16
"41554433784","6930000000000",16
"41554433784","8992300000000",16
"41554453638","8992300000000",16
"6900000000000","6950000000000",16
"6902400000000","6950000000000",16
"6923700000000","6970180000000",16
"41554247701","8992300000000",15
"41554247725","6902400000000",15
"41554429954","8992300000000",15
"41554433814","8992300000000",15
"41554433821","8992300000000",15
"4940000000000","6928820000000",15
"6923490000000","6928820000000",15
"4935420000000","6930000000000",14
"4940000000000","6930000000000",14
"41554433784","8935270000000",13
"4990000000000","8940000000000",12
"4990000000000","8992300000000",12
"4992940000000","8940000000000",12
"6923700000000",ZVN01059,12
"41554433807","6928820000000",11
"4935420000000","8994990000000",11
"4992940000000","8994990000000",11
"6902400000000",ZVN01059,11
"6960000000000","8994990000000",11
"41554433807","6900000000000",10
"8992300000000",ZVN01059,10
"6950000000000","8994990000000",9
--,"6938180000000",8
"41554247718","8935270000000",8
"6928820000000","6938180000000",8
"41554433784","8940000000000",7
"4990000000000","8850000000000",7
"4992940000000","8850000000000",7
--,"41554247718",6
--,"41554247725",6
"4990000000000","8850430000000",6
"6902400000000","71249343326",6
--,"41554429947",5
--,"4990000000000",5
"41554247701","6920000000000",5
"41554247732","6923490000000",5
"41554433784","6920000000000",5
